place,name,State,Division,Count_CivicStructure_AgriculturalFacility,Count_CivicStructure_EducationFacility,Count_CivicStructure_MedicalFacility,Count_CivicStructure_TransportOrAdminFacility,Count_Person
wikidataId/Q797295,Nicobar district,Andaman and Nicobar Islands,,,,,,36842.0
wikidataId/Q796983,North and Middle Andaman,Andaman and Nicobar Islands,,,,,,105597.0
wikidataId/Q796979,South Andaman district,Andaman and Nicobar Islands,,,,,,238142.0
wikidataId/Q15212,Anantapur,Andhra Pradesh,,577.0,414.0,359.0,1139.0,4081148.0
wikidataId/Q15213,Chittoor,Andhra Pradesh,,1433.0,781.0,692.0,2377.0,4174064.0
wikidataId/Q15338,East Godavari,Andhra Pradesh,,821.0,492.0,368.0,1434.0,5154296.0
wikidataId/Q15341,Guntur,Andhra Pradesh,,1085.0,674.0,557.0,1931.0,4887813.0
wikidataId/Q15342,Kadapa District,Andhra Pradesh,,579.0,303.0,237.0,934.0,2882469.0
wikidataId/Q15382,Krishna,Andhra Pradesh,,893.0,507.0,408.0,1479.0,4517398.0
wikidataId/Q15381,Kurnool,Andhra Pradesh,,637.0,421.0,366.0,1130.0,4053463.0
wikidataId/Q15390,Prakasam,Andhra Pradesh,,1278.0,767.0,648.0,2275.0,3397448.0
wikidataId/Q15383,Spsr Nellore,Andhra Pradesh,,944.0,515.0,445.0,1502.0,2963557.0
wikidataId/Q15395,Srikakulam,Andhra Pradesh,,667.0,377.0,272.0,1109.0,2703114.0
wikidataId/Q15394,Visakhapatanam,Andhra Pradesh,,849.0,488.0,390.0,1507.0,4290589.0
wikidataId/Q15392,Vizianagaram,Andhra Pradesh,,670.0,355.0,290.0,1058.0,2344474.0
wikidataId/Q15404,West Godavari,Andhra Pradesh,,784.0,393.0,361.0,1298.0,3936966.0
wikidataId/Q15413,Anjaw,Arunachal Pradesh,,26.0,10.0,5.0,7.0,21167.0
wikidataId/Q15427,Changlang,Arunachal Pradesh,,48.0,11.0,17.0,36.0,148226.0
wikidataId/Q15446,Dibang Valley,Arunachal Pradesh,,24.0,4.0,5.0,7.0,8004.0
wikidataId/Q15424,East Kameng,Arunachal Pradesh,,71.0,24.0,24.0,40.0,78690.0
wikidataId/Q15419,East Siang,Arunachal Pradesh,,129.0,42.0,29.0,54.0,99214.0
wikidataId/Q2449506,Kurung Kumey,Arunachal Pradesh,,40.0,27.0,24.0,31.0,92076.0
wikidataId/Q15438,Lohit,Arunachal Pradesh,,108.0,26.0,27.0,46.0,145726.0
wikidataId/Q2373368,Lower Dibang Valley,Arunachal Pradesh,,109.0,44.0,30.0,66.0,54080.0
wikidataId/Q15436,Lower Subansiri,Arunachal Pradesh,,50.0,53.0,40.0,60.0,83030.0
wikidataId/Q15432,Papum Pare,Arunachal Pradesh,,139.0,56.0,52.0,79.0,176573.0
wikidataId/Q15449,Tawang,Arunachal Pradesh,,29.0,13.0,9.0,18.0,49977.0
wikidataId/Q15448,Tirap,Arunachal Pradesh,,189.0,68.0,53.0,99.0,111975.0
wikidataId/Q15465,Upper Siang,Arunachal Pradesh,,35.0,6.0,8.0,15.0,35320.0
wikidataId/Q15464,Upper Subansiri,Arunachal Pradesh,,76.0,49.0,32.0,55.0,83448.0
wikidataId/Q15459,West Kameng,Arunachal Pradesh,,25.0,31.0,39.0,51.0,83947.0
wikidataId/Q15453,West Siang,Arunachal Pradesh,,141.0,41.0,42.0,83.0,112274.0
wikidataId/Q42774,Dima Hasao,Assam,Central Assam Division,131.0,111.0,18.0,101.0,214102.0
wikidataId/Q42558,Karbi Anglong district,Assam,Central Assam Division,415.0,250.0,65.0,379.0,956313.0
wikidataId/Q42737,Marigaon,Assam,Central Assam Division,317.0,256.0,64.0,294.0,957423.0
wikidataId/Q42686,Nagaon,Assam,Central Assam Division,775.0,510.0,182.0,578.0,2823768.0
wikidataId/Q42209,Cachar,Assam,Hills and Barak Valley Division,377.0,245.0,97.0,323.0,1736617.0
wikidataId/Q42505,Hailakandi,Assam,Hills and Barak Valley Division,165.0,122.0,36.0,160.0,659296.0
wikidataId/Q42542,Karimganj,Assam,Hills and Barak Valley Division,433.0,298.0,104.0,358.0,1228686.0
wikidataId/Q2360266,Baksa,Assam,Lower Assam Division,475.0,324.0,99.0,391.0,950075.0
wikidataId/Q41249,Barpeta,Assam,Lower Assam Division,1295.0,914.0,287.0,1057.0,1693622.0
wikidataId/Q42197,Bongaigaon,Assam,Lower Assam Division,336.0,200.0,59.0,283.0,738804.0
wikidataId/Q2574898,Chirang,Assam,Lower Assam Division,216.0,150.0,45.0,159.0,482162.0
wikidataId/Q42485,Dhubri,Assam,Lower Assam Division,529.0,357.0,116.0,429.0,1949258.0
wikidataId/Q42522,Goalpara,Assam,Lower Assam Division,452.0,305.0,68.0,358.0,1008183.0
wikidataId/Q2247441,Kamrup,Assam,Lower Assam Division,713.0,458.0,133.0,546.0,1517542.0
wikidataId/Q2464674,Kamrup Metro,Assam,Lower Assam Division,159.0,87.0,31.0,114.0,1253938.0
wikidataId/Q42618,Kokrajhar,Assam,Lower Assam Division,403.0,282.0,75.0,323.0,887142.0
wikidataId/Q42779,Nalbari,Assam,Lower Assam Division,356.0,257.0,74.0,279.0,771639.0
wikidataId/Q42461,Darrang,Assam,North Assam division,285.0,169.0,52.0,215.0,928500.0
wikidataId/Q42765,Sonitpur,Assam,North Assam division,443.0,249.0,68.0,340.0,1924110.0
wikidataId/Q321998,Udalguri,Assam,North Assam division,362.0,230.0,68.0,276.0,831668.0
wikidataId/Q42473,Dhemaji,Assam,,341.0,255.0,72.0,264.0,686133.0
wikidataId/Q42479,Dibrugarh,Assam,,562.0,384.0,114.0,451.0,1326335.0
wikidataId/Q42517,Golaghat,Assam,,424.0,313.0,86.0,370.0,1066888.0
wikidataId/Q42611,Jorhat,Assam,,292.0,200.0,73.0,293.0,1092256.0
wikidataId/Q42743,Lakhimpur,Assam,,400.0,326.0,104.0,379.0,1042137.0
wikidataId/Q42768,Sivasagar,Assam,,545.0,342.0,97.0,440.0,1151050.0
wikidataId/Q42756,Tinsukia,Assam,,326.0,218.0,79.0,242.0,1327929.0
wikidataId/Q43097,Banka,Bihar,Bhagalpur division,128.0,175.0,82.0,292.0,2034763.0
wikidataId/Q49155,Bhagalpur,Bihar,Bhagalpur division,161.0,191.0,81.0,341.0,3037766.0
wikidataId/Q49160,Darbhanga,Bihar,Darbhanga division,164.0,191.0,93.0,295.0,3937385.0
wikidataId/Q77474,Madhubani,Bihar,Darbhanga division,248.0,297.0,125.0,470.0,4487379.0
wikidataId/Q100117,Samastipur,Bihar,Darbhanga division,318.0,354.0,167.0,607.0,4261566.0
wikidataId/Q77746,Madhepura,Bihar,Kosi division,125.0,173.0,77.0,303.0,2001762.0
wikidataId/Q100120,Saharsa,Bihar,Kosi division,107.0,151.0,71.0,256.0,1900661.0
wikidataId/Q100139,Supaul,Bihar,Kosi division,139.0,188.0,76.0,308.0,2229076.0
wikidataId/Q42917,Arwal,Bihar,Magadh division,52.0,71.0,27.0,122.0,700843.0
wikidataId/Q43086,Aurangabad,Bihar,Magadh division,157.0,176.0,94.0,306.0,2540073.0
wikidataId/Q49173,Gaya,Bihar,Magadh division,262.0,282.0,130.0,487.0,4391418.0
wikidataId/Q49176,Jehanabad,Bihar,Magadh division,87.0,117.0,40.0,171.0,1125313.0
wikidataId/Q100067,Nawada,Bihar,Magadh division,204.0,254.0,106.0,378.0,2219146.0
wikidataId/Q49157,Begusarai,Bihar,Munger division,189.0,220.0,95.0,376.0,2970541.0
wikidataId/Q49168,Jamui,Bihar,Munger division,133.0,160.0,55.0,243.0,1760405.0
wikidataId/Q49175,Khagaria,Bihar,Munger division,92.0,106.0,47.0,182.0,1666886.0
wikidataId/Q77505,Lakhisarai,Bihar,Munger division,60.0,86.0,36.0,114.0,1000912.0
wikidataId/Q77452,Munger,Bihar,Munger division,95.0,103.0,55.0,188.0,1367765.0
wikidataId/Q100093,Sheikhpura,Bihar,Munger division,63.0,66.0,30.0,94.0,636342.0
wikidataId/Q49153,Bhojpur,Bihar,Patna division,177.0,238.0,92.0,385.0,2728407.0
