Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
20697007,Captain Sam's Pizza,3.9,Good,830,0,3.9,830,₹400 for two,₹150 for one,"Munirka, New Delhi","251/A, 3rd Floor, Munirka Village, Munirka, New Delhi","Pizza, Desserts, Beverages",Delhi NCR,28.55652,77.16379
20087004,Dana Choga,4.4,Very Good,"3,701",0,4.4,"3,701",₹800 for two,₹150 for one,"Vasant Kunj, New Delhi","C-8, 1st Floor, Masoodpur, Vasant Kunj, New Delhi","North Indian, Mughlai",Delhi NCR,28.53151,77.15021
3507,Subway,3.6,Good,"8,175",249,4.1,"7,926",₹400 for two,₹150 for one,"Vasant Square Mall, Vasant Kunj, New Delhi","G-10/A, Ground Floor, Vasant Square Mall, Vasant Kunj, New Delhi","Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",Delhi NCR,28.52489,77.15655
19074899,BOX8 - Desi Meals,4.4,Very Good,"8,905",0,4.4,"8,905",₹450 for two,₹150 for one,"Vasant Kunj, New Delhi","C 7, Shop 2, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","North Indian, Wraps, Fast Food, Biryani, Ice Cream, Desserts",Delhi NCR,28.53151,77.15021
20901494,Wendy's Burgers,4.1,Very Good,61,0,4.1,61,₹350 for two,₹150 for one,"Vasant Kunj, New Delhi","A-85, Masood Pur, Near Big Bazar, Main Road, Vasant Kunj, New Delhi","Burger, Fast Food, American",Delhi NCR,28.53151,77.15021
18412885,Faasos - Wraps & Rolls,4.2,Very Good,18.7K,0,4.2,18.7K,₹450 for two,₹150 for one,"Vasant Kunj, New Delhi","A 85, First Floor, Near Big Bazaar, Main Road Masood Pur, Vasant Kunj, New Delhi","Rolls, Wraps, Shawarma",Delhi NCR,28.53151,77.15021
19481597,Natural Ice Cream,4.5,Excellent,"1,436",0,4.5,"1,436",₹300 for two,₹150 for one,"Vasant Kunj, New Delhi","A-85, 1st Floor, Masoodpur, Vasant Kunj, New Delhi","Ice Cream, Desserts, Shake, Beverages",Delhi NCR,28.53151,77.15021
18423109,Oven Story Pizza - Standout Toppings,4.3,Very Good,"4,736",0,4.3,"4,736",₹400 for two,₹150 for one,"Vasant Kunj, New Delhi","A 85, First Floor, Main Road, Masood Pur, Vasant Kunj, New Delhi","Pizza, Italian, Pasta",Delhi NCR,28.53151,77.15021
18984777,Chaayos Chai+Snacks=Relax,4.2,Very Good,"6,055",348,4.4,"5,707",₹450 for two,₹150 for one,"MG Road, New Delhi","Shop 4, Khasra 253/254, Village Sultanpur, MG Road, New Delhi","Tea, Cafe, Coffee, Rolls, Fast Food, Beverages",Delhi NCR,28.64608,77.12666
19074892,MOJO Pizza - 2X Toppings,4.4,Very Good,"2,438",0,4.4,"2,438",₹400 for two,₹150 for one,"Vasant Kunj, New Delhi","Shop 2, C-7, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","Pizza, Fast Food, Desserts, Beverages",Delhi NCR,28.53151,77.15021
20680870,FroGo - One Stop Ice Cream Shop,4.4,Very Good,727,0,4.4,727,₹300 for two,₹150 for one,"Vasant Kunj, New Delhi","C-7/3, Khasra 405/98, First Floor, Vasant Vihar, Masoodpur, Near Lenskart, Main Road, Vasant Kunj, New Delhi","Ice Cream, Desserts",Delhi NCR,28.53151,77.15021
19183586,The Biryani Life,3.7,Good,773,0,3.7,773,₹400 for two,₹150 for one,"Vasant Kunj, New Delhi","A 85, First Floor, Main Road, Masood Pur, Vasant Kunj, New Delhi","Biryani, Mughlai, Kebabs",Delhi NCR,28.53151,77.15021
19810912,NH1 Bowls - Highway To North,4.4,Very Good,597,0,4.4,597,₹400 for two,₹250 for one,"Vasant Kunj, New Delhi","Shop 2, C-7, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","North Indian, Fast Food, Desserts, Beverages",Delhi NCR,28.53151,77.15021
18216944,Burger.In,3.9,Good,22.5K,295,4.1,22.2K,₹350 for two,₹250 for one,"Adchini, New Delhi","84, Sri Aurobindo Marg, Adchini, New Delhi","Burger, Fast Food, Pizza, Sandwich, Rolls, Beverages",Delhi NCR,28.53794,77.19911
19693223,Baap of Rolls,4.3,Very Good,940,0,4.3,940,₹300 for two,₹250 for one,"Vasant Kunj, New Delhi","Kitchen 8, C -73, Ground Floor, Vasant Vihar, Main Road Masoodpur, Vasant Kunj, New Delhi","Rolls, Momos, Beverages",Delhi NCR,28.53151,77.15021
19823168,ZAZA Mughal Biryani,4.2,Very Good,476,0,4.2,476,₹600 for two,₹250 for one,"Vasant Kunj, New Delhi","Shop 2, C 7, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","Biryani, North Indian, Desserts",Delhi NCR,28.53151,77.15021
20062971,The B.Tech Restaurant,4.0,Very Good,"1,977",56,4.1,"1,921",₹400 for two,₹250 for one,"Sainik Farms, New Delhi","Shop 2, Sakidulajaib Village, Sainik Farms, New Delhi","North Indian, Chinese, Mughlai, Street Food, Biryani",Delhi NCR,28.50555,77.21413
18472642,Karim's,4.0,Very Good,"4,347",525,3.9,"3,822","₹2,500 for two",₹250 for one,"The Gallery on MG, MG Road, New Delhi","12, The Gallery On MG Mall, Opposite Metro Pillar 54, MG Road, New Delhi","Mughlai, North Indian, Rolls, Desserts",Delhi NCR,28.50114,77.16687
18472661,Bhookemon,4.3,Very Good,33.2K,0,4.3,33.2K,₹500 for two,₹250 for one,"Lado Sarai, New Delhi","F-329, Lado Sarai, New Delhi",North Indian,Delhi NCR,28.52642,77.19257
234,Nirula's,3.7,Good,13K,293,4.2,12.7K,₹400 for two,₹250 for one,"Vasant Kunj, New Delhi","B-10, DDA Market, Vasant Kunj, New Delhi","Pizza, Momos, Ice Cream, Desserts, Shake, Beverages",Delhi NCR,28.53151,77.15021
312937,Miam,4.5,Excellent,"1,374",0,4.5,"1,374",₹500 for two,₹250 for one,"Lado Sarai, New Delhi","F-321A, Old MB Road, Lado Sarai, New Delhi","Bakery, Desserts",Delhi NCR,28.52642,77.19257
20627345,Caterspoint,4.2,Very Good,783,0,4.2,783,"₹1,000 for two",₹250 for one,"Vasant Kunj, New Delhi","A-85/A, First Floor, Masoodpur Village, Vasant Kunj, New Delhi","Sandwich, Salad, Italian, Continental, Healthy Food, Fast Food, Desserts, Beverages",Delhi NCR,28.53151,77.15021
20800553,Daily Kitchen - Homestyle Meals,4.3,Very Good,47,0,4.3,47,₹200 for two,₹250 for one,"Vasant Kunj, New Delhi","C-7, Shop 2, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","North Indian, Desserts, Beverages",Delhi NCR,28.53151,77.15021
19156033,House Of Wok,4.3,Very Good,"4,064",0,4.3,"4,064",₹900 for two,₹250 for one,"Vasant Kunj, New Delhi","Shop 1 & 2, Property C 12, Ground Floor, Masoodpur, Vasant Kunj, New Delhi","Chinese, Asian, Sushi, Thai, Seafood, Beverages, Salad",Delhi NCR,28.53151,77.15021
