City,Cuisine,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022
"Mumbai, Maharashtra",Demand: Afghan,,,,100,,,,,,,
"Hyderabad, Telangana",Demand: Afghan,,,,,,,,,,,
"Chennai, Tamil Nadu",Demand: Afghan,,,,,,,,,,,
"Kolkata, West Bengal",Demand: Afghan,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Afghan,76.81,100,84.29,70.57,39.15,43.89,59.85,56.11,51.12,45.89,66.83
"Delhi NCR, Delhi NCR",Demand: Afghan,95.67,98.99,100,94.99,78.8,77.78,78.57,73.68,74.97,76.6,79.02
"Hyderabad, Telangana",Demand: African,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: African,,,,,,,,,,,
"Kolkata, West Bengal",Demand: African,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: African,88.89,16.67,38.89,100,66.67,38.89,55.56,66.67,27.78,55.56,33.33
"Chennai, Tamil Nadu",Demand: African,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: African,,,,,,,,,,,
"Mumbai, Maharashtra",Demand: American,99.45,83.95,80.71,71.81,81.53,89.57,73.17,88.48,100,86.84,90.28
"Delhi NCR, Delhi NCR",Demand: American,5.69,7.27,7.91,7.77,12.12,100,83.67,80.94,92.84,96.56,99.96
"Hyderabad, Telangana",Demand: American,97.37,75.57,75.92,74.46,92.23,100,64.06,61.48,76.5,68.73,61.19
"Bengaluru, Karnataka",Demand: American,66.74,82.24,79.69,72.82,67.4,71.45,68.32,60.69,81.46,88.67,100
"Kolkata, West Bengal",Demand: American,35.38,13.23,22.89,36.9,82.62,100,81,67.4,66.61,79.32,21.05
"Chennai, Tamil Nadu",Demand: American,47.32,42.3,50.97,45.43,45.67,65.14,77.45,75.13,100,91.52,9.24
"Hyderabad, Telangana",Demand: Andhra,100,96.2,95.1,71.65,71.82,75.86,74,74.93,68.67,70.33,74.68
"Chennai, Tamil Nadu",Demand: Andhra,100,91.56,89.15,73.42,73.26,59.63,57.06,70.25,71.17,69.8,72.78
"Bengaluru, Karnataka",Demand: Andhra,84.78,97.47,100,88.93,83.48,89.37,86.09,88.85,87.18,91.27,87.97
"Kolkata, West Bengal",Demand: Andhra,,,,,,,,,,,
"Delhi NCR, Delhi NCR",Demand: Andhra,99.37,100,80.32,27.3,38.41,75.08,3.49,10.63,17.94,21.75,42.54
"Mumbai, Maharashtra",Demand: Andhra,39.03,59.69,52.55,39.29,66.58,72.45,63.27,81.38,100,94.64,57.65
"Kolkata, West Bengal",Demand: Arabian,46.89,100,79.59,55.82,73.37,60.29,43.54,55.66,59.33,38.6,61.72
"Delhi NCR, Delhi NCR",Demand: Arabian,90.12,100,92.67,83.83,69.94,77.1,86.92,84.81,80.36,84.32,70.27
"Mumbai, Maharashtra",Demand: Arabian,100,41.92,42.04,32.8,29.51,36.36,37.3,40.2,40.43,40.51,25.99
"Chennai, Tamil Nadu",Demand: Arabian,52.11,100,99.23,83.21,77.31,85.19,89.21,96.46,99.32,86.11,81.82
"Bengaluru, Karnataka",Demand: Arabian,100,87.59,81.94,72.03,66.69,77.12,81.27,79.25,73.52,69.86,79.64
"Hyderabad, Telangana",Demand: Arabian,,,,,,,,,,,
"Bengaluru, Karnataka",Demand: Asian,62.97,64.28,66.32,67.1,65.13,73.92,77.5,85.19,90.12,100,99.86
"Delhi NCR, Delhi NCR",Demand: Asian,81.17,81.84,83.2,80.91,79.21,87.66,76.39,85.68,90.03,100,88.96
"Chennai, Tamil Nadu",Demand: Asian,50.05,56.72,58.3,57.37,66.35,74.45,64.3,89.69,78.17,67.09,100
"Mumbai, Maharashtra",Demand: Asian,100,87.96,89.64,82.23,87.98,87.27,80.2,84.65,80.55,74.54,67.68
"Hyderabad, Telangana",Demand: Asian,93.17,91.2,100,86.48,63.97,65.07,67.78,64.57,66.55,65.7,71.84
"Kolkata, West Bengal",Demand: Asian,62.81,59.34,63.19,62.94,60.41,68.2,64.02,68.83,100,87.43,86.19
"Chennai, Tamil Nadu",Demand: Assamese,,,,,,,,,,,
